run_id,fishery_id,time_step,legal_marked,legal_unmarked
4,69,3,0,0
4,71,3,0,0
5,1,3,0,0
5,2,3,0,0
5,3,3,0,0
5,4,3,0,0
5,5,3,0,0
5,6,3,0,0
5,8,3,0,0
5,9,3,0,0
5,10,3,0,0
5,11,3,0,0
5,13,3,0,0
5,14,3,0,0
5,15,3,0,0
5,16,3,0,0
5,17,3,0,0
5,18,3,0,0
5,20,3,0,0
5,21,3,0,0
5,22,3,0,0
5,23,3,0,0
5,24,3,0,0
5,25,3,0,0
5,26,3,0,0
5,27,3,0,0
5,30,3,0,0
5,31,3,0,0
5,34,3,0,0
5,35,3,0,0
5,36,3,938.473438,11.571691
5,37,3,299.639261,0.360738
5,38,3,74.90983,0.090169
5,39,3,0,0
5,40,3,0,0
5,41,3,0,0
5,42,3,4398.149564,28.850438
5,44,3,0,0
5,45,3,0,0
5,47,3,0,0
5,48,3,0,0
5,50,3,0,0
5,52,3,0,0
5,53,3,5574.019934,25.162204
5,54,3,3431.362172,13.637827999999999
5,55,3,0,0
5,56,3,2154.004835,11.995163999999999
5,57,3,4553.412502,17.633262000000002
5,58,3,0,0
5,59,3,0,0
5,60,3,0,0
5,61,3,0,0
5,62,3,103.412914,0.587087
5,63,3,0,0
5,64,3,1006.021868,6.874287
5,65,3,0,0
5,66,3,0,0
5,67,3,800.584845,0.628742
5,69,3,0,0
5,71,3,0,0
6,1,3,0,0
6,2,3,0,0
6,3,3,0,0
6,4,3,0,0
6,5,3,0,0
6,6,3,0,0
6,7,3,0,0
6,8,3,0,0
6,9,3,0,0
6,10,3,0,0
6,11,3,0,0
6,12,3,0,0
6,13,3,0,0
6,14,3,0,0
6,15,3,0,0
6,16,3,0,0
6,17,3,0,0
6,18,3,0,0
6,20,3,0,0
6,21,3,0,0
6,22,3,0,0
6,23,3,0,0
6,24,3,0,0
6,25,3,0,0
6,26,3,0,0
6,27,3,0,0
6,30,3,0,0
6,31,3,0,0
6,32,3,0,0
6,33,3,0,0
6,34,3,0,0
6,35,3,0,0
6,36,3,1708.760026,18.133817
6,37,3,299.61019400000004,0.389807
6,38,3,74.902557,0.097441
6,39,3,0,0
6,40,3,0,0
6,41,3,0,0
6,42,3,3509.757086,17.242919
6,44,3,0,0
6,45,3,0,0
6,47,3,0,0
6,48,3,0,0
6,50,3,0,0
6,52,3,0,0
6,53,3,5577.250773,10.188918000000001
6,54,3,4227.393655,13.606346
6,55,3,0,0
6,56,3,4722.015262,20.984738
6,57,3,4192.172132,13.380481
6,58,3,0,0
6,59,3,0,0
6,61,3,0,0
6,62,3,134.060823,0.939177
6,63,3,0,0
6,64,3,1117.959389,9.251427999999999
6,65,3,0,0
6,66,3,0,0
6,67,3,1267.956102,0.846534
6,69,3,0,0
6,71,3,0,0
7,1,3,0,0
7,2,3,0,0
7,3,3,0,0
7,4,3,0,0
7,5,3,0,0
7,6,3,0,0
7,7,3,0,0
7,8,3,0,0
7,9,3,0,0
7,10,3,0,0
7,11,3,0,0
7,12,3,0,0
7,13,3,0,0
7,14,3,0,0
7,15,3,0,0
7,16,3,0,0
7,17,3,0,0
7,18,3,0,0
7,20,3,0,0
7,21,3,0,0
7,22,3,0,0
7,23,3,0,0
7,24,3,0,0
7,25,3,0,0
7,26,3,0,0
7,27,3,0,0
7,30,3,0,0
7,31,3,0,0
7,32,3,0,0
7,33,3,0,0
7,34,3,0,0
7,35,3,0,0
7,36,3,1447.032168,19.58564
7,37,3,299.620907,0.37909
7,38,3,0,0
7,39,3,0,0
7,40,3,0,0
7,41,3,0,0
7,42,3,4636.353091,29.646916
7,44,3,0,0
7,45,3,0,0
7,47,3,0,0
7,48,3,0,0
7,50,3,0,0
7,51,3,0,0
7,52,3,0,0
7,53,3,3491.410106,9.589896999999999
7,54,3,4374.626621,17.37338
7,55,3,0,0
7,56,3,3056.617158,21.939278
7,57,3,2804.54842,13.451577
7,58,3,0,0
7,59,3,0,0
7,60,3,0,0
7,61,3,0,0
7,62,3,203.65696499999999,2.343035
7,63,3,0,0
7,64,3,942.437696,0.966326
7,66,3,0,0
7,67,3,2363.482712,2.627635
7,69,3,0,0
7,71,3,0,0
8,1,3,0,0
8,2,3,0,0
8,3,3,0,0
8,4,3,0,0
8,5,3,0,0
8,6,3,0,0
8,7,3,0,0
8,8,3,0,0
8,9,3,0,0
8,10,3,0,0
8,11,3,0,0
8,12,3,0,0
8,13,3,0,0
8,14,3,0,0
8,15,3,0,0
8,16,3,0,0
8,17,3,0,0
8,18,3,0,0
8,20,3,0,0
8,21,3,0,0
8,22,3,0,0
8,23,3,0,0
8,24,3,0,0
8,25,3,0,0
8,26,3,0,0
8,27,3,0,0
8,30,3,0,0
8,31,3,0,0
8,32,3,0,0
8,33,3,0,0
8,34,3,0,0
8,35,3,0,0
8,36,3,1540.599621,21.400379
8,37,3,299.628588,0.371412
8,38,3,0,0
8,39,3,0,0
8,40,3,0,0
8,41,3,0,0
8,42,3,3974.358002,24.641998
8,44,3,0,0
8,47,3,0,0
8,48,3,0,0
8,50,3,0,0
8,51,3,0,0
8,52,3,0,0
8,53,3,6529.207171,12.792833
8,54,3,4767.563365,30.436634
8,55,3,0,0
8,56,3,4149.15781,9.438138
8,57,3,4181.541679,14.359669
8,59,3,0,0
8,60,3,0,0
8,61,3,0,0
8,62,3,199.402927,0.59707
8,63,3,0,0
8,64,3,1110.695266,1.0299099999999999
8,66,3,0,0
8,67,3,2365.824381,3.948046
8,69,3,0,0
8,71,3,0,0
9,1,3,0,0
9,2,3,0,0
9,3,3,0,0
9,4,3,0,0
9,5,3,0,0
9,6,3,0,0
9,7,3,0,0
9,8,3,0,0
9,9,3,0,0
9,10,3,0,0
9,11,3,0,0
9,13,3,0,0
9,14,3,0,0
9,15,3,0,0
9,16,3,0,0
9,17,3,0,0
9,18,3,0,0
9,20,3,0,0
9,21,3,0,0
9,22,3,0,0
9,23,3,0,0
9,24,3,0,0
9,25,3,0,0
9,26,3,0,0
9,27,3,0,0
9,30,3,0,0
9,31,3,0,0
9,32,3,0,0
9,33,3,0,0
