run_id,fishery_id,time_step,legal_marked,sublegal_marked,legal_unmarked,sublegal_unmarked
3,54,3,4909.1758,393.00689499999993,4001.705588,178.20573
3,55,3,0,0,0,0
3,56,3,0,0,0,0
3,57,3,3001.236164,1629.77624,482.678632,423.08182999999997
3,58,3,0,0,0,0
3,59,3,0,0,0,0
3,60,3,0,0,0,0
3,61,3,0,0,0,0
3,62,3,98.810142,0,20.703511,0
3,63,3,0,0,0,0
3,64,3,786.749007,1488.008775,184.434033,327.79889
3,65,3,0,0,0,0
3,66,3,0,0,0,0
3,67,3,1088.332033,1529.3044049999999,87.17472000000001,199.27124999999998
3,68,3,5.000466,0,0.363654,0
3,69,3,0,0,0,0
3,71,3,0,0,0,0
4,1,3,0,0,0,0
4,2,3,0,0,0,0
4,3,3,0,0,0,0
4,4,3,0,0,0,0
4,6,3,0,0,0,0
4,7,3,0,0,0,0
4,8,3,0,0,0,0
4,9,3,0,0,0,0
4,10,3,0,0,0,0
4,11,3,0,0,0,0
4,13,3,0,0,0,0
4,14,3,0,0,0,0
4,15,3,0,0,0,0
4,16,3,0,0,0,0
4,17,3,0,0,0,0
4,18,3,0,0,0,0
4,19,3,0,0,0,0
4,20,3,0,0,0,0
4,21,3,0,0,0,0
4,22,3,0,0,0,0
4,23,3,0,0,0,0
4,24,3,0,0,0,0
4,25,3,0,0,0,0
4,26,3,0,0,0,0
4,27,3,0,0,0,0
4,30,3,0,0,0,0
4,31,3,0,0,0,0
4,32,3,0,0,0,0
4,33,3,0,0,0,0
4,34,3,0,0,0,0
4,35,3,0,0,0,0
4,36,3,1411.468327,1344.6176199999998,885.205867,365.32561499999997
4,37,3,300.00748300000004,0,225.182089,0
4,38,3,75.000036,0,74.647269,0
4,39,3,0,0,0,0
4,40,3,0,0,0,0
4,41,3,0,0,0,0
4,42,3,7011.277621,9294.51985,6618.847114,4861.02187
4,44,3,0,0,0,0
4,47,3,0,0,0,0
4,48,3,173.226317,0,13.779271999999999,0
4,50,3,0,0,0,0
4,52,3,0,0,0,0
4,53,3,3494.705172,2187.2285899999997,780.325051,560.041845
4,54,3,3875.1920410000002,1679.939205,3658.292405,878.606055
4,55,3,0,0,0,0
4,56,3,1579.331127,1778.057655,699.39731,664.426365
4,57,3,1422.696093,841.2238249999999,293.808757,340.21102499999995
4,58,3,0,0,0,0
4,59,3,0,0,0,0
4,61,3,0,0,0,0
4,62,3,93.322661,0,26.976152,0
4,63,3,0,0,0,0
4,64,3,863.732306,1150.9317949999997,172.001938,186.28920999999997
4,65,3,0,0,0,0
4,66,3,0,0,0,0
4,67,3,294.379877,89.217005,35.582276,19.421384999999997
4,69,3,0,0,0,0
4,71,3,0,0,0,0
5,1,3,0,0,0,0
5,2,3,0,0,0,0
5,3,3,0,0,0,0
5,4,3,0,0,0,0
5,5,3,0,0,0,0
5,6,3,0,0,0,0
5,8,3,0,0,0,0
5,9,3,0,0,0,0
5,10,3,0,0,0,0
5,11,3,0,0,0,0
5,13,3,0,0,0,0
5,14,3,0,0,0,0
5,15,3,0,0,0,0
5,16,3,0,0,0,0
5,17,3,0,0,0,0
5,18,3,0,0,0,0
5,20,3,0,0,0,0
5,21,3,0,0,0,0
5,22,3,0,0,0,0
5,23,3,0,0,0,0
5,24,3,0,0,0,0
5,25,3,0,0,0,0
5,26,3,0,0,0,0
5,27,3,0,0,0,0
5,30,3,0,0,0,0
5,31,3,0,0,0,0
5,34,3,0,0,0,0
5,35,3,0,0,0,0
5,36,3,1078.705101,1036.557495,1157.16929,906.5413749999999
5,37,3,299.669229,0,3607.386617,0
5,38,3,74.917323,0,901.68859,0
5,39,3,0,0,0,0
5,40,3,0,0,0,0
5,41,3,0,0,0,0
5,42,3,5055.344328,6648.104359999999,2885.043785,6535.409304999999
5,44,3,0,0,0,0
5,45,3,0,0,0,0
5,47,3,0,0,0,0
5,48,3,0,0,0,0
5,50,3,0,0,0,0
5,52,3,0,0,0,0
5,53,3,6406.919467,4102.855825,1258.110263,1672.524735
5,54,3,3944.094451,1578.9928850000001,1363.782782,688.285395
5,55,3,0,0,0,0
5,56,3,2475.867627,2867.39146,599.758309,722.2667249999998
5,57,3,5233.807476,3295.8588249999993,881.663055,1494.976025
5,58,3,0,0,0,0
5,59,3,0,0,0,0
5,60,3,0,0,0,0
5,61,3,0,0,0,0
5,62,3,118.865417,0,29.354382,0
5,63,3,0,0,0,0
5,64,3,1156.346975,206.48302999999999,85.928572,20.099884999999997
5,65,3,0,0,0,0
5,66,3,0,0,0,0
5,67,3,920.2124670000001,327.44219999999996,62.874258,19.876875
5,69,3,0,0,0,0
5,71,3,0,0,0,0
6,1,3,0,0,0,0
6,2,3,0,0,0,0
6,3,3,0,0,0,0
6,4,3,0,0,0,0
6,5,3,0,0,0,0
6,6,3,0,0,0,0
6,7,3,0,0,0,0
6,8,3,0,0,0,0
6,9,3,0,0,0,0
6,10,3,0,0,0,0
6,11,3,0,0,0,0
6,12,3,0,0,0,0
6,13,3,0,0,0,0
6,14,3,0,0,0,0
6,15,3,0,0,0,0
6,16,3,0,0,0,0
6,17,3,0,0,0,0
6,18,3,0,0,0,0
6,20,3,0,0,0,0
6,21,3,0,0,0,0
6,22,3,0,0,0,0
6,23,3,0,0,0,0
6,24,3,0,0,0,0
6,25,3,0,0,0,0
6,26,3,0,0,0,0
6,27,3,0,0,0,0
6,30,3,0,0,0,0
6,31,3,0,0,0,0
6,32,3,0,0,0,0
6,33,3,0,0,0,0
6,34,3,0,0,0,0
6,35,3,0,0,0,0
6,36,3,1964.0919860000001,1986.3801899999999,1813.3816729999999,1363.5249649999998
6,37,3,299.64016,0,3898.058635,0
6,38,3,74.910049,0,974.424183,0
6,39,3,0,0,0,0
6,40,3,0,0,0,0
6,41,3,0,0,0,0
6,42,3,4034.203541,8686.477579999999,1724.291743,3318.21478
6,44,3,0,0,0,0
6,45,3,0,0,0,0
6,47,3,0,0,0,0
6,48,3,0,0,0,0
6,50,3,0,0,0,0
6,52,3,0,0,0,0
6,53,3,6410.633076,6487.636384999999,1018.891652,511.27449499999994
6,54,3,4859.073169,2136.909855,1360.634375,623.3155399999999
